,price,percent_pro,all_comment,pic_comment,vid_comment,add_comment,pro_comment,mid_comment,con_comment
507,96.0,0.97,1000.0,0.0,0.0,2.0,300.0,5.0,4.0
508,9.0,0.98,30000.0,191.0,1.0,100.0,20000.0,100.0,100.0
509,52.9,0.9400000000000001,300.0,0.0,0.0,2.0,100.0,5.0,1.0
510,16.0,0.98,30000.0,191.0,1.0,100.0,20000.0,100.0,100.0
511,599.0,0.99,600.0,0.0,0.0,1.0,500.0,0.0,1.0
512,39.9,0.96,300.0,5.0,0.0,0.0,100.0,2.0,4.0
513,49.9,0.96,100.0,0.0,0.0,0.0,25.0,0.0,1.0
514,118.0,0.99,500.0,0.0,0.0,0.0,300.0,0.0,1.0
515,93.9,0.98,7000.0,0.0,0.0,16.0,3000.0,17.0,19.0
516,39.0,0.97,10000.0,58.0,0.0,18.0,7000.0,80.0,73.0
517,59.0,0.98,30000.0,115.0,0.0,100.0,20000.0,100.0,200.0
518,49.9,0.99,20000.0,0.0,0.0,10.0,3000.0,13.0,4.0
519,33.98,0.97,3000.0,0.0,0.0,29.0,700.0,10.0,8.0
520,298.0,0.97,2000.0,0.0,0.0,8.0,400.0,5.0,8.0
521,96.8,0.98,70000.0,0.0,0.0,200.0,20000.0,200.0,200.0
522,65.0,0.98,10000.0,361.0,0.0,85.0,7000.0,51.0,52.0
523,179.0,0.97,10000.0,0.0,0.0,18.0,2000.0,30.0,19.0
524,299.0,1.0,100.0,0.0,0.0,0.0,54.0,0.0,0.0
525,99.0,1.0,47.0,0.0,0.0,0.0,12.0,0.0,0.0
526,46.9,0.99,4000000.0,457.0,0.0,60.0,1000000.0,200.0,100.0
527,58.9,0.96,300.0,0.0,0.0,1.0,64.0,1.0,1.0
528,200.0,0.99,2000.0,0.0,0.0,12.0,1000.0,6.0,5.0
529,14.9,0.93,2000.0,0.0,0.0,9.0,500.0,18.0,17.0
530,24.8,0.97,300.0,0.0,0.0,0.0,67.0,0.0,2.0
531,9.0,0.99,3000.0,0.0,0.0,23.0,1000.0,6.0,2.0
532,35.0,0.97,1000.0,12.0,0.0,5.0,600.0,9.0,4.0
533,4.9,0.96,1000.0,0.0,0.0,3.0,200.0,4.0,6.0
534,136.0,0.98,20000.0,0.0,0.0,200.0,5000.0,28.0,40.0
535,36.9,0.97,3000.0,0.0,0.0,6.0,500.0,6.0,6.0
536,58.9,0.96,700.0,0.0,0.0,2.0,100.0,4.0,2.0
537,49.9,0.96,3000.0,17.0,0.0,8.0,1000.0,29.0,18.0
538,89.0,0.9500000000000001,1000.0,0.0,0.0,1.0,200.0,1.0,11.0
539,69.0,1.0,27.0,0.0,0.0,0.0,4.0,0.0,0.0
540,80.0,0.98,9000.0,90.0,0.0,31.0,5000.0,51.0,28.0
541,67.9,0.97,7000.0,0.0,0.0,22.0,1000.0,21.0,21.0
542,159.0,0.81,52.0,0.0,0.0,0.0,9.0,0.0,2.0
543,104.9,0.96,200.0,0.0,0.0,1.0,63.0,2.0,0.0
544,139.0,0.99,30000.0,0.0,0.0,64.0,10000.0,49.0,80.0
545,5.0,0.98,10000.0,36.0,0.0,47.0,5000.0,58.0,49.0
546,57.0,0.98,70000.0,0.0,0.0,200.0,20000.0,200.0,200.0
547,89.0,1.0,100.0,0.0,0.0,0.0,21.0,0.0,0.0
548,99.0,0.98,300.0,0.0,0.0,1.0,200.0,2.0,1.0
549,99.0,0.9500000000000001,600.0,0.0,0.0,5.0,100.0,6.0,2.0
550,119.0,0.98,10000.0,0.0,0.0,28.0,3000.0,27.0,27.0
551,59.0,0.9,72.0,0.0,0.0,0.0,10.0,0.0,1.0
552,39.9,1.0,85.0,0.0,0.0,4.0,51.0,0.0,0.0
553,19.9,0.98,10000.0,0.0,0.0,37.0,4000.0,26.0,30.0
554,68.5,1.0,42.0,0.0,0.0,0.0,7.0,0.0,0.0
555,29.8,0.9500000000000001,100.0,0.0,0.0,0.0,21.0,0.0,1.0
556,22.0,0.99,10000.0,8.0,0.0,61.0,10000.0,45.0,51.0
557,88.0,0.98,2000.0,25.0,0.0,13.0,900.0,7.0,4.0
558,204.0,0.98,20000.0,0.0,0.0,200.0,5000.0,28.0,40.0
559,19.9,0.98,2000.0,0.0,0.0,7.0,700.0,7.0,5.0
560,138.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
561,49.9,0.9500000000000001,300.0,0.0,0.0,0.0,20.0,0.0,1.0
562,365.0,0.99,80000.0,1.0,1.0,200.0,30000.0,100.0,100.0
563,53.0,0.93,100.0,0.0,0.0,1.0,30.0,1.0,1.0
564,5.0,0.98,10000.0,36.0,0.0,47.0,5000.0,58.0,49.0
565,59.0,0.98,10000.0,0.0,0.0,200.0,8000.0,37.0,61.0
566,22.0,0.97,20000.0,449.0,0.0,100.0,10000.0,200.0,100.0
567,69.0,0.98,100000.0,313.0,1.0,400.0,50000.0,400.0,400.0
568,314.0,1.0,38.0,0.0,0.0,0.0,7.0,0.0,0.0
569,39.0,1.0,42.0,0.0,0.0,0.0,7.0,0.0,0.0
570,66.8,0.98,70000.0,0.0,0.0,200.0,20000.0,200.0,200.0
571,35.0,0.97,200.0,0.0,0.0,3.0,41.0,1.0,0.0
572,130.0,0.99,1000.0,0.0,0.0,5.0,200.0,0.0,1.0
573,19.9,0.92,1000.0,0.0,0.0,14.0,400.0,13.0,20.0
574,39.0,0.98,3000.0,68.0,0.0,11.0,2000.0,12.0,22.0
575,45.0,0.98,200.0,0.0,0.0,1.0,56.0,0.0,1.0
576,15.9,0.98,70000.0,500.0,1.0,100.0,50000.0,300.0,200.0
577,79.9,0.98,100000.0,500.0,4.0,300.0,80000.0,600.0,500.0
